Date,Close/Last,Volume,Open,High,Low
04/09/15,208.9,85426740,207.78,209.18,207.19
04/08/15,207.975,89261180,207.55,208.51,207.08
04/07/15,207.28,81058840,207.855,208.76,207.24
04/06/15,207.83,113960800,205.37,208.45,205.21
04/02/15,206.435,86817710,205.62,206.98,205.4
04/01/15,205.7,137055500,206.39,206.42,204.51
03/31/2015,206.43,126569200,207.26,208.1,206.36
03/30/2015,208.25,95986750,206.98,208.61,206.96
03/27/2015,205.74,117057900,205.13,205.95,204.9
03/26/2015,205.27,152909900,204.96,206.37,204.12
03/25/2015,205.76,159285600,209.07,209.35,205.71
03/24/2015,208.82,76947650,209.85,210.4,208.74
03/23/2015,210,71619060,210.42,211.11,210
03/20/2015,210.41,177517400,209.71,211.02,209.4903
03/19/2015,209.5,117697000,209.96,210.4697,209.03
03/18/2015,210.46,227287200,207.39,211.27,206.62
03/17/2015,207.96,94322500,207.69,208.42,206.98
03/16/2015,208.58,135571800,206.71,208.69,205.8641
03/13/2015,205.8272,162353900,206.77,207.9338,204.58
03/12/15,207.1,93451320,205.26,207.175,205.2
03/11/15,204.5,109058000,205.29,205.5,204.4
03/10/15,204.98,156656000,206.71,206.81,204.93
03/09/15,208.36,89621890,207.74,208.79,207.5459
03/06/15,207.5,186468600,209.42,209.94,207.1
03/05/15,210.46,76825940,210.62,210.8,209.85
03/04/15,210.2301,114257600,210.4,210.49,209.06
03/03/15,211.12,110141700,211.47,212.054,210.08
03/02/15,211.99,87300760,210.78,212.06,210.72
02/27/2015,210.66,107946400,211.26,211.58,210.6
02/26/2015,211.38,72577040,211.52,211.71,210.65
02/25/2015,211.63,72874810,211.66,212.24,211.22
02/24/2015,211.81,72214030,211.12,212.05,210.76
02/23/2015,211.209,74250690,210.94,211.21,210.48
02/20/2015,211.239,140029800,209.48,211.33,208.73
02/19/2015,209.98,91364150,209.41,210.42,209.24
02/18/2015,210.13,80057400,209.66,210.22,209.3401
02/17/2015,210.11,76888670,209.4,210.32,209.1
02/13/2015,209.78,93553960,209.07,209.84,208.76
02/12/15,208.92,97202820,207.89,208.99,206.9727
02/11/15,206.93,90268410,206.61,207.45,205.83
02/10/15,206.81,95999260,205.88,207.12,204.6801
02/09/15,204.63,87074270,204.77,205.64,204.135
02/06/15,205.55,125550800,206.56,207.24,204.92
02/05/15,206.12,97236260,204.86,206.3,204.77
02/04/15,204.06,132933500,203.92,205.38,203.51
02/03/15,204.84,123861500,203,204.85,202.55
02/02/15,201.92,162649000,200.05,202.03,197.86
01/30/2015,199.45,193789000,200.57,202.17,199.13
